datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,days,hours,hoursS,humidityS,spring,summer,fall,winter,better,good,bad,worse
2011-01-20 00:00:00,1,0,1,1,10.66,11.365,56,26.0027,500,0,0.00,3136.00,1,0,0,0,1,0,0,0
2011-01-20 01:00:00,1,0,1,1,10.66,13.635,56,0,501,1,1.00,3136.00,1,0,0,0,1,0,0,0
2011-01-20 02:00:00,1,0,1,1,10.66,13.635,56,0,502,2,4.00,3136.00,1,0,0,0,1,0,0,0
2011-01-20 03:00:00,1,0,1,1,10.66,12.88,56,11.0014,503,3,9.00,3136.00,1,0,0,0,1,0,0,0
2011-01-20 04:00:00,1,0,1,1,10.66,12.88,56,11.0014,504,4,16.00,3136.00,1,0,0,0,1,0,0,0
2011-01-20 05:00:00,1,0,1,1,9.84,11.365,60,15.0013,505,5,25.00,3600.00,1,0,0,0,1,0,0,0
2011-01-20 06:00:00,1,0,1,1,9.02,10.605,60,15.0013,506,6,36.00,3600.00,1,0,0,0,1,0,0,0
2011-01-20 07:00:00,1,0,1,1,9.02,10.605,55,15.0013,507,7,49.00,3025.00,1,0,0,0,1,0,0,0
2011-01-20 08:00:00,1,0,1,1,9.02,10.605,55,19.0012,508,8,64.00,3025.00,1,0,0,0,1,0,0,0
2011-01-20 09:00:00,1,0,1,2,9.84,11.365,52,15.0013,509,9,81.00,2704.00,1,0,0,0,0,1,0,0
2011-01-20 10:00:00,1,0,1,1,10.66,11.365,48,19.9995,510,10,100.00,2304.00,1,0,0,0,1,0,0,0
2011-01-20 11:00:00,1,0,1,2,11.48,13.635,45,11.0014,511,11,121.00,2025.00,1,0,0,0,0,1,0,0
2011-01-20 12:00:00,1,0,1,2,12.3,16.665,42,0,512,12,144.00,1764.00,1,0,0,0,0,1,0,0
2011-01-20 13:00:00,1,0,1,2,11.48,14.395,45,7.0015,513,13,169.00,2025.00,1,0,0,0,0,1,0,0
2011-01-20 14:00:00,1,0,1,2,12.3,15.15,45,8.9981,514,14,196.00,2025.00,1,0,0,0,0,1,0,0
2011-01-20 15:00:00,1,0,1,2,13.12,15.91,45,12.998,515,15,225.00,2025.00,1,0,0,0,0,1,0,0
2011-01-20 16:00:00,1,0,1,2,12.3,15.15,49,8.9981,516,16,256.00,2401.00,1,0,0,0,0,1,0,0
2011-01-20 17:00:00,1,0,1,2,12.3,15.91,49,7.0015,517,17,289.00,2401.00,1,0,0,0,0,1,0,0
