datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,days,hours,tempS,atempS,humidityS,windspeedS,daysS,hoursS,spring,summer,fall,winter,better,good,bad,worse
2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,0,3,13,16,2,0,96.8256,207.216025,6561,0,4,0,1,0,0,0,1,0,0,0
2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,0,8,32,40,3,1,81.3604,185.913225,6400,0,9,1,1,0,0,0,1,0,0,0
2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,0,5,27,32,4,2,81.3604,185.913225,6400,0,16,4,1,0,0,0,1,0,0,0
2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,0,3,10,13,5,3,96.8256,207.216025,5625,0,25,9,1,0,0,0,1,0,0,0
2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,0,0,1,1,6,4,96.8256,207.216025,5625,0,36,16,1,0,0,0,1,0,0,0
2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,0,1,1,7,5,96.8256,165.8944,5625,36.03841024,49,25,1,0,0,0,0,1,0,0
2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,0,2,0,2,8,6,81.3604,185.913225,6400,0,64,36,1,0,0,0,1,0,0,0
2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,0,1,2,3,9,7,67.24,165.8944,7396,0,81,49,1,0,0,0,1,0,0,0
2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,0,1,7,8,10,8,96.8256,207.216025,5625,0,100,64,1,0,0,0,1,0,0,0
2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,0,8,6,14,11,9,172.1344,303.630625,5776,0,121,81,1,0,0,0,1,0,0,0
2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,12,24,36,12,10,242.7364,387.893025,5776,288.9286044,144,100,1,0,0,0,1,0,0,0
2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,26,30,56,13,11,217.8576,277.722225,6561,361.0456014,169,121,1,0,0,0,1,0,0,0
